== off: answered 10/13 correct 10/13 tokens 9968
   explain_9        run_on   --- tok=2400 think=None trip=None@None forced=None | ''
   explain_13       run_on   OK  tok=593 think=None trip=None@None forced=None | 'Optimization\u202f13 typically performs strength reduction, converting expe'
   explain_15       run_on   OK  tok=1121 think=None trip=None@None forced=None | 'Optimization\u202f15 in a typical\u202f-O2 pipeline is usually the **loop‑unroll'
   explain_18       run_on   --- tok=2400 think=None trip=None@None forced=None | ''
   translate_house  run_on   OK  tok=465 think=None trip=None@None forced=None | '**Traduction :**\nhouse → **maison**\n\n**Exemples de phrases :**\n1. La m'
   capital_hungary  run_on   --- tok=2400 think=None trip=None@None forced=None | ''
   add_62_130       control  OK  tok=55 think=None trip=None@None forced=None | '192'
   add_44_88        control  OK  tok=57 think=None trip=None@None forced=None | '132'
   paris_coastal    control  OK  tok=62 think=None trip=None@None forced=None | 'No.'
   primes_below_60  hard     OK  tok=176 think=None trip=None@None forced=None | '17'
   digit_sum        hard     OK  tok=114 think=None trip=None@None forced=None | '31'
   train_meet       hard     OK  tok=70 think=None trip=None@None forced=None | '2'
   sort_words       hard     OK  tok=55 think=None trip=None@None forced=None | 'apple, banana, cherry, fig, mango, pear'
== budget_1024: answered 13/13 correct 13/13 tokens 3671
   explain_9        run_on   OK  tok=387 think=250 trip=run_on@239 forced=False | 'Optimization\u202f9 in a typical\u202f-O2 pipeline is often **loop unrolling**, '
   explain_13       run_on   OK  tok=393 think=266 trip=run_on@255 forced=False | 'Optimization\u202f13 in a typical -O2 pipeline is often **strength reductio'
   explain_15       run_on   OK  tok=1000 think=835 trip=budget_soft@819 forced=False | 'Optimization\u202f15 in a typical\u202f‑O2 pipeline is usually one of the “l‑pas'
   explain_18       run_on   OK  tok=973 think=833 trip=budget_soft@819 forced=False | 'Compiler optimization #18 in a typical -O2 pipeline is usually **loop '
   translate_house  run_on   OK  tok=177 think=111 trip=None@None forced=False | '**Traduction :**\n- Anglais : *house* → Français : **maison**\n\n**Deux p'
   capital_hungary  run_on   OK  tok=124 think=118 trip=run_on@106 forced=False | 'Budapest'
   add_62_130       control  OK  tok=55 think=50 trip=None@None forced=False | '192'
   add_44_88        control  OK  tok=57 think=52 trip=None@None forced=False | '132'
   paris_coastal    control  OK  tok=85 think=79 trip=None@None forced=False | 'No.'
   primes_below_60  hard     OK  tok=177 think=172 trip=None@None forced=False | '17'
   digit_sum        hard     OK  tok=114 think=109 trip=None@None forced=False | '31'
   train_meet       hard     OK  tok=70 think=65 trip=None@None forced=False | '2'
   sort_words       hard     OK  tok=59 think=44 trip=None@None forced=False | 'apple, banana, cherry, fig, mango, pear'
== budget_512: answered 13/13 correct 13/13 tokens 3079
   explain_9        run_on   OK  tok=406 think=250 trip=run_on@239 forced=False | 'Optimization\u202f9 in a typical\u202f-O2 pipeline is often **loop unrolling**, '
   explain_13       run_on   OK  tok=499 think=302 trip=run_on@290 forced=False | 'Compiler optimization #13 in a typical -O2 pipeline is usually the **l'
   explain_15       run_on   OK  tok=574 think=420 trip=budget_soft@409 forced=False | 'Optimization #15 in a typical -O2 pipeline is often a **strength‑reduc'
   explain_18       run_on   OK  tok=590 think=422 trip=budget_soft@409 forced=False | 'Compiler optimization\u202f#18 in a typical\u202f-O2 pipeline is usually **stren'
   translate_house  run_on   OK  tok=180 think=120 trip=None@None forced=False | '**Traduction :**\n- Anglais : *house* → Français : **maison**\n\n**Deux p'
   capital_hungary  run_on   OK  tok=124 think=118 trip=run_on@106 forced=False | 'Budapest'
   add_62_130       control  OK  tok=57 think=52 trip=None@None forced=False | '192'
   add_44_88        control  OK  tok=55 think=50 trip=None@None forced=False | '132'
   paris_coastal    control  OK  tok=70 think=64 trip=None@None forced=False | 'No.'
   primes_below_60  hard     OK  tok=177 think=172 trip=None@None forced=False | '17'
   digit_sum        hard     OK  tok=132 think=127 trip=None@None forced=False | '31'
   train_meet       hard     OK  tok=70 think=65 trip=None@None forced=False | '2'
   sort_words       hard     OK  tok=145 think=130 trip=None@None forced=False | 'apple, banana, cherry, fig, mango, pear'
== budget_256: answered 13/13 correct 13/13 tokens 2610
   explain_9        run_on   OK  tok=397 think=215 trip=budget_soft@204 forced=False | 'Compiler optimization\u202f9 in a typical\u202f-O2 pipeline is often **loop unro'
   explain_13       run_on   OK  tok=392 think=215 trip=budget_soft@204 forced=False | 'Compiler optimization #13 in a typical -O2 pipeline is often the **loo'
   explain_15       run_on   OK  tok=390 think=213 trip=budget_soft@204 forced=False | 'Compiler optimization pass\u202f15 in a typical\u202f‑O2 pipeline is usually the'
   explain_18       run_on   OK  tok=372 think=214 trip=budget_soft@204 forced=False | 'Optimization number\u202f18 in a typical\u202f-O2 pipeline is usually a **streng'
   translate_house  run_on   OK  tok=258 think=219 trip=budget_soft@204 forced=False | '**Français :** maison\n\n1. La maison est située au bord de la rivière.\n'
   capital_hungary  run_on   OK  tok=124 think=118 trip=run_on@106 forced=False | 'Budapest'
   add_62_130       control  OK  tok=55 think=50 trip=None@None forced=False | '192'
   add_44_88        control  OK  tok=55 think=50 trip=None@None forced=False | '132'
   paris_coastal    control  OK  tok=62 think=56 trip=None@None forced=False | 'No.'
   primes_below_60  hard     OK  tok=176 think=171 trip=None@None forced=False | '17'
   digit_sum        hard     OK  tok=114 think=109 trip=None@None forced=False | '31'
   train_meet       hard     OK  tok=70 think=65 trip=None@None forced=False | '2'
   sort_words       hard     OK  tok=145 think=130 trip=None@None forced=False | 'apple, banana, cherry, fig, mango, pear'
