[transformers] PyTorch was not found. Models won't be available and only tokenizers, configuration and file/data utilities can be used.
[grid] off                    explain_9        run_on   OK  think=  254 close=True rep4=0.155 | 'Optimization\u202f9 in a typical\u202f-O2 pipeline is ofte'
[grid] off                    explain_13       run_on   --- think= 2400 close=False rep4=0.872 | ''
[grid] off                    explain_15       run_on   OK  think=  695 close=True rep4=0.084 | 'The 15th optimization pass in a typical\u202f-O2 pipe'
[grid] off                    explain_18       run_on   --- think= 2400 close=False rep4=0.817 | ''
[grid] off                    translate_house  run_on   OK  think=  139 close=True rep4=0.066 | '**Traduction :**\n- Anglais : house → Français : '
[grid] off                    capital_hungary  run_on   --- think= 2400 close=False rep4=0.957 | ''
[grid] off                    add_62_130       control  OK  think=   50 close=True rep4=0.043 | '192'
[grid] off                    add_44_88        control  OK  think=   50 close=True rep4=0.043 | '132'
[grid] off                    paris_coastal    control  OK  think=   68 close=True rep4=0.0 | 'No.'
[grid] off                    primes_below_60  hard     OK  think=  172 close=True rep4=0.0 | '17'
[grid] off                    digit_sum        hard     OK  think=  127 close=True rep4=0.089 | '31'
[grid] off                    train_meet       hard     OK  think=   65 close=True rep4=0.016 | '2'
[grid] off                    sort_words       hard     OK  think=   40 close=True rep4=0.0 | 'apple, banana, cherry, fig, mango, pear'
[grid] off                    mod_pow          hard     OK  think=   93 close=True rep4=0.044 | '11'
[grid] off                    count_r          hard     OK  think=  136 close=True rep4=0.0 | '3'
[grid] off                    bat_ball         hard     OK  think=   98 close=True rep4=0.095 | '5'
== off: closed 13/16 correct 13/16 think_tokens 9187
[grid] L28_a0.2               explain_9        run_on   OK  think=  110 close=True rep4=0.047 | 'Compiler optimization\u202f9 in a typical\u202f-O2 pipelin'
[grid] L28_a0.2               explain_13       run_on   OK  think=  276 close=True rep4=0.117 | 'Optimization\u202f13 in a typical\u202f-O2 pipeline is usu'
[grid] L28_a0.2               explain_15       run_on   OK  think=   95 close=True rep4=0.098 | 'Compiler optimization\u202f15 in a typical\u202f-O2 pipeli'
[grid] L28_a0.2               explain_18       run_on   OK  think=  123 close=True rep4=0.025 | 'Compiler optimization\u202f18 in a typical\u202f-O2 pipeli'
[grid] L28_a0.2               translate_house  run_on   OK  think=   91 close=True rep4=0.011 | '**Traduction :**\n- Anglais : *house* → Français '
[grid] L28_a0.2               capital_hungary  run_on   OK  think=   69 close=True rep4=0.121 | 'Budapest'
[grid] L28_a0.2               add_62_130       control  OK  think=   38 close=True rep4=0.057 | '192'
[grid] L28_a0.2               add_44_88        control  OK  think=   41 close=True rep4=0.0 | '132'
[grid] L28_a0.2               paris_coastal    control  OK  think=   42 close=True rep4=0.0 | 'No.'
[grid] L28_a0.2               primes_below_60  hard     OK  think=   84 close=True rep4=0.0 | '17'
[grid] L28_a0.2               digit_sum        hard     OK  think=  127 close=True rep4=0.089 | '31'
[grid] L28_a0.2               train_meet       hard     OK  think=   43 close=True rep4=0.0 | '2'
[grid] L28_a0.2               sort_words       hard     OK  think=   37 close=True rep4=0.0 | 'apple, banana, cherry, fig, mango, pear'
[grid] L28_a0.2               mod_pow          hard     OK  think=  159 close=True rep4=0.09 | '11'
[grid] L28_a0.2               count_r          hard     OK  think=   96 close=True rep4=0.0 | '3'
[grid] L28_a0.2               bat_ball         hard     OK  think=  100 close=True rep4=0.124 | '5'
== L28_a0.2: closed 16/16 correct 16/16 think_tokens 1531
[grid] L32_a0.2               explain_9        run_on   OK  think=  122 close=True rep4=0.059 | 'Compiler optimization\u202f9 in a typical\u202f-O2 pipelin'
[grid] L32_a0.2               explain_13       run_on   OK  think=  226 close=True rep4=0.027 | 'Optimization #13 in a typical -O2 pipeline is us'
[grid] L32_a0.2               explain_15       run_on   OK  think=  250 close=True rep4=0.081 | 'Optimization\u202f15 in a typical\u202f-O2 pipeline is usu'
[grid] L32_a0.2               explain_18       run_on   OK  think=  587 close=True rep4=0.235 | 'Optimization\u202f18 in a typical\u202f-O2 pipeline is mos'
[grid] L32_a0.2               translate_house  run_on   OK  think=   82 close=True rep4=0.013 | '**Traduction :**\n- Anglais : *house* → Français '
[grid] L32_a0.2               capital_hungary  run_on   OK  think=   78 close=True rep4=0.16 | 'Budapest'
[grid] L32_a0.2               add_62_130       control  OK  think=   42 close=True rep4=0.051 | '192'
[grid] L32_a0.2               add_44_88        control  OK  think=   45 close=True rep4=0.0 | '132'
[grid] L32_a0.2               paris_coastal    control  OK  think=   55 close=True rep4=0.0 | 'No.'
[grid] L32_a0.2               primes_below_60  hard     OK  think=   84 close=True rep4=0.0 | '17'
[grid] L32_a0.2               digit_sum        hard     OK  think=   43 close=True rep4=0.0 | '31'
[grid] L32_a0.2               train_meet       hard     OK  think=   56 close=True rep4=0.0 | '2'
[grid] L32_a0.2               sort_words       hard     OK  think=   38 close=True rep4=0.0 | 'apple, banana, cherry, fig, mango, pear'
[grid] L32_a0.2               mod_pow          hard     OK  think=  159 close=True rep4=0.09 | '11'
[grid] L32_a0.2               count_r          hard     OK  think=   82 close=True rep4=0.0 | '3'
[grid] L32_a0.2               bat_ball         hard     OK  think=   99 close=True rep4=0.125 | '5'
== L32_a0.2: closed 16/16 correct 16/16 think_tokens 2048
[grid] L32_a0.4               explain_9        run_on   OK  think=   47 close=True rep4=0.0 | 'Compiler optimization\u202f9 in a typical\u202f-O2 pipelin'
[grid] L32_a0.4               explain_13       run_on   OK  think=   92 close=True rep4=0.022 | 'Compiler optimization\u202f13 in a typical\u202f-O2 pipeli'
[grid] L32_a0.4               explain_15       run_on   OK  think=   72 close=True rep4=0.029 | 'Compiler optimization\u202f15 in a typical\u202f-O2 pipeli'
[grid] L32_a0.4               explain_18       run_on   OK  think=   89 close=True rep4=0.023 | 'Compiler optimization\u202f#18 in a typical\u202f-O2 pipel'
[grid] L32_a0.4               translate_house  run_on   OK  think=   46 close=True rep4=0.0 | '**French word:** maison\n\n**Sentences:**\n1. La ma'
